,Year,MSL
669,1982,-0.057999999999999996
670,1982,-0.005
671,1982,-0.05
672,1982,-0.048
673,1982,-0.008
674,1982,0.046
675,1982,0.044000000000000004
676,1982,0.122
677,1982,0.073
678,1983,0.128
679,1983,0.068
680,1983,0.013999999999999999
681,1983,0.039
682,1983,0.028999999999999998
683,1983,0.09300000000000001
684,1983,0.095
685,1983,0.086
686,1983,0.11
687,1983,0.062
688,1983,-0.006
689,1983,-0.036000000000000004
690,1984,-0.027999999999999997
691,1984,-0.045
692,1984,0.023
693,1984,-0.009000000000000001
694,1984,0.028999999999999998
695,1984,0.026000000000000002
696,1984,0.037000000000000005
697,1984,0.032
698,1984,0.061
699,1984,-0.011000000000000001
700,1984,-0.048
701,1984,-0.03
702,1985,-0.031
703,1985,-0.042
704,1985,-0.071
705,1985,-0.012
706,1985,-0.06
707,1985,-0.040999999999999995
708,1985,-0.015
709,1985,-0.048
710,1985,-0.03
711,1985,-0.023
712,1985,-0.039
713,1985,-0.045
714,1986,-0.052000000000000005
715,1986,-0.018000000000000002
716,1986,-0.05
717,1986,-0.009000000000000001
718,1986,-0.011000000000000001
719,1986,-0.05
720,1986,-0.036000000000000004
721,1986,-0.039
722,1986,-0.039
723,1986,-0.017
724,1986,0.043
725,1986,0.034
726,1987,0.003
727,1987,0.057999999999999996
728,1987,-0.013000000000000001
729,1987,-0.012
730,1987,0.038
731,1987,-0.035
732,1987,-0.008
733,1987,-0.02
734,1987,-0.003
735,1987,-0.013999999999999999
736,1987,0.031
737,1987,-0.042
738,1988,-0.052000000000000005
739,1988,0.004
740,1988,0.002
741,1988,0.009000000000000001
742,1988,-0.051
743,1988,-0.059000000000000004
744,1988,-0.021
745,1988,-0.045
746,1988,-0.024
747,1988,-0.039
748,1988,-0.106
749,1988,-0.106
750,1989,-0.113
751,1989,-0.125
752,1989,-0.025
753,1989,-0.015
754,1989,0.01
755,1989,-0.01
756,1989,-0.002
757,1989,-0.035
758,1989,0.006
759,1989,-0.033
760,1989,0.025
761,1989,-0.006
762,1990,0.003
763,1990,-0.033
764,1990,-0.006999999999999999
765,1990,0.027000000000000003
766,1990,-0.005
767,1990,0.042
768,1990,0.016
769,1990,0.001
770,1990,0.027999999999999997
771,1990,0.077
772,1990,0.068
773,1990,0.012
774,1991,0.027000000000000003
775,1991,0.052000000000000005
776,1991,-0.004
777,1991,-0.031
778,1991,-0.040999999999999995
779,1991,-0.006999999999999999
780,1991,0.01
781,1991,-0.02
782,1991,0.006
783,1991,0.05
784,1991,0.061
785,1991,0.027999999999999997
786,1992,0.107
787,1992,0.11599999999999999
788,1992,0.157
789,1992,0.08199999999999999
790,1992,0.044000000000000004
791,1992,-0.01
792,1992,0.034
793,1992,0.022000000000000002
794,1992,-0.009000000000000001
795,1992,0.037000000000000005
796,1992,0.077
797,1992,0.025
798,1993,0.1
799,1993,0.054000000000000006
800,1993,0.036000000000000004
801,1993,0.018000000000000002
802,1993,0.035
803,1993,0.045
804,1993,0.034
805,1993,0.001
806,1993,-0.006
807,1993,0.027999999999999997
808,1993,0.002
809,1993,-0.034
810,1994,-0.019
811,1994,-0.052000000000000005
812,1994,0.019
813,1994,-0.059000000000000004
814,1994,-0.043
815,1994,-0.048
816,1994,-0.019
817,1994,0.005
818,1994,-0.02
819,1994,0.005
820,1994,-0.019
821,1994,-0.024
822,1995,-0.002
823,1995,0.033
824,1995,0.018000000000000002
825,1995,-0.036000000000000004
826,1995,-0.049
827,1995,-0.019
828,1995,-0.018000000000000002
829,1995,0.027999999999999997
830,1995,-0.005
831,1995,-0.033
832,1995,-0.033
833,1995,-0.009000000000000001
834,1996,-0.055
835,1996,-0.013000000000000001
836,1996,-0.019
837,1996,-0.03
838,1996,0.013000000000000001
839,1996,-0.013999999999999999
840,1996,-0.035
841,1996,-0.006
842,1996,0.012
843,1996,-0.0
844,1996,-0.037000000000000005
845,1996,-0.036000000000000004
846,1997,-0.032
847,1997,-0.021
848,1997,0.046
849,1997,0.012
850,1997,0.10300000000000001
851,1997,0.08199999999999999
852,1997,0.059000000000000004
853,1997,0.095
854,1997,0.12
855,1997,0.175
856,1997,0.204
857,1997,0.185
858,1998,0.145
859,1998,0.079
860,1998,0.073
861,1998,-0.006999999999999999
862,1998,0.002
863,1998,0.005
864,1998,0.049
865,1998,0.055
866,1998,0.018000000000000002
867,1998,-0.009000000000000001
868,1998,-0.013000000000000001
869,1998,-0.084
870,1999,-0.038
871,1999,-0.079
872,1999,-0.034
873,1999,-0.021
874,1999,0.013999999999999999
875,1999,-0.011000000000000001
876,1999,-0.016
877,1999,-0.055999999999999994
878,1999,-0.08199999999999999
879,1999,-0.071
880,1999,-0.098
881,1999,-0.083
882,2000,-0.052000000000000005
883,2000,-0.047
884,2000,-0.003
885,2000,-0.019
886,2000,0.009000000000000001
887,2000,0.037000000000000005
888,2000,0.011000000000000001
889,2000,-0.026000000000000002
890,2000,-0.024
891,2000,-0.044000000000000004
892,2000,-0.06
893,2000,-0.086
894,2001,-0.055
895,2001,-0.048
896,2001,-0.003
897,2001,-0.051
898,2001,0.03
